"Geslacht";"Leeftijd";"Migratieachtergrond ";"Hoogst behaald onderwijsniveau";"Perioden";"Bevolking (x 1000)"
"Totaal mannen en vrouwen";"45 tot 55 jaar";"Nederlandse achtergrond";"212 Mbo4";"2021 2e kwartaal";"     379"
"Totaal mannen en vrouwen";"45 tot 55 jaar";"Nederlandse achtergrond";"213 Havo, vwo";"2021 2e kwartaal";"     104"
"Totaal mannen en vrouwen";"45 tot 55 jaar";"Nederlandse achtergrond";"31 Hbo-, wo-bachelor";"2021 2e kwartaal";"     468"
"Totaal mannen en vrouwen";"45 tot 55 jaar";"Nederlandse achtergrond";"32 Hbo-, wo-master, doctor";"2021 2e kwartaal";"     275"
"Totaal mannen en vrouwen";"45 tot 55 jaar";"Nederlandse achtergrond";"Weet niet of onbekend";"2021 2e kwartaal";"      16"
"Totaal mannen en vrouwen";"45 tot 55 jaar";"Westerse migratieachtergrond";"Totaal";"2021 2e kwartaal";"     295"
"Totaal mannen en vrouwen";"45 tot 55 jaar";"Westerse migratieachtergrond";"11 Basisonderwijs";"2021 2e kwartaal";"       9"
"Totaal mannen en vrouwen";"45 tot 55 jaar";"Westerse migratieachtergrond";"121 Vmbo-b/k, mbo1";"2021 2e kwartaal";"      19"
"Totaal mannen en vrouwen";"45 tot 55 jaar";"Westerse migratieachtergrond";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2021 2e kwartaal";"      14"
"Totaal mannen en vrouwen";"45 tot 55 jaar";"Westerse migratieachtergrond";"211 Mbo2 en mbo3";"2021 2e kwartaal";"      46"
"Totaal mannen en vrouwen";"45 tot 55 jaar";"Westerse migratieachtergrond";"212 Mbo4";"2021 2e kwartaal";"      34"
"Totaal mannen en vrouwen";"45 tot 55 jaar";"Westerse migratieachtergrond";"213 Havo, vwo";"2021 2e kwartaal";"      18"
"Totaal mannen en vrouwen";"45 tot 55 jaar";"Westerse migratieachtergrond";"31 Hbo-, wo-bachelor";"2021 2e kwartaal";"      70"
"Totaal mannen en vrouwen";"45 tot 55 jaar";"Westerse migratieachtergrond";"32 Hbo-, wo-master, doctor";"2021 2e kwartaal";"      75"
"Totaal mannen en vrouwen";"45 tot 55 jaar";"Westerse migratieachtergrond";"Weet niet of onbekend";"2021 2e kwartaal";"       9"
"Totaal mannen en vrouwen";"45 tot 55 jaar";"Niet-westerse migratieachtergrond";"Totaal";"2021 2e kwartaal";"     330"
"Totaal mannen en vrouwen";"45 tot 55 jaar";"Niet-westerse migratieachtergrond";"11 Basisonderwijs";"2021 2e kwartaal";"      53"
"Totaal mannen en vrouwen";"45 tot 55 jaar";"Niet-westerse migratieachtergrond";"121 Vmbo-b/k, mbo1";"2021 2e kwartaal";"      26"
"Totaal mannen en vrouwen";"45 tot 55 jaar";"Niet-westerse migratieachtergrond";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2021 2e kwartaal";"      18"
"Totaal mannen en vrouwen";"45 tot 55 jaar";"Niet-westerse migratieachtergrond";"211 Mbo2 en mbo3";"2021 2e kwartaal";"      37"
"Totaal mannen en vrouwen";"45 tot 55 jaar";"Niet-westerse migratieachtergrond";"212 Mbo4";"2021 2e kwartaal";"      27"
"Totaal mannen en vrouwen";"45 tot 55 jaar";"Niet-westerse migratieachtergrond";"213 Havo, vwo";"2021 2e kwartaal";"      32"
"Totaal mannen en vrouwen";"45 tot 55 jaar";"Niet-westerse migratieachtergrond";"31 Hbo-, wo-bachelor";"2021 2e kwartaal";"      69"
"Totaal mannen en vrouwen";"45 tot 55 jaar";"Niet-westerse migratieachtergrond";"32 Hbo-, wo-master, doctor";"2021 2e kwartaal";"      48"
"Totaal mannen en vrouwen";"45 tot 55 jaar";"Niet-westerse migratieachtergrond";"Weet niet of onbekend";"2021 2e kwartaal";"      20"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Nederlandse achtergrond";"Totaal";"2021 2e kwartaal";"    1881"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Nederlandse achtergrond";"11 Basisonderwijs";"2021 2e kwartaal";"     106"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Nederlandse achtergrond";"121 Vmbo-b/k, mbo1";"2021 2e kwartaal";"     251"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Nederlandse achtergrond";"122 Vmbo-g/t, havo-, vwo-onderbouw";"2021 2e kwartaal";"     138"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Nederlandse achtergrond";"211 Mbo2 en mbo3";"2021 2e kwartaal";"     308"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Nederlandse achtergrond";"212 Mbo4";"2021 2e kwartaal";"     286"
"Totaal mannen en vrouwen";"55 tot 65 jaar";"Nederlandse achtergrond";"213 Havo, vwo";"2021 2e kwartaal";"     145"
